"Latitude","Longitude","Code de l'entité","Libellé","Surface de bassin versant hydrologique (km²)","Surface de bassin versant topographique (km²)","Débit (m³/s)","Intervalle de confiance","Taille de l'échantillon"
"49.9573745","3.6589631","H7053430","L'Iron à Iron","","57","6.83","0.95","9"
"49.9574165","3.6591199","H705343001","L'Iron à Iron","","57","6.83","0.95","9"
"49.8395926","3.4818001","H7061010","L'Oise à Origny-Sainte-Benoite","","1200","82.4","0.95","54"
"49.8395926","3.4818001","H706101001","L'Oise à Origny-Sainte-Benoite","","1200","82.4","0.95","54"
"49.8395926","3.4818001","H706101002","L'Oise à Origny-Sainte-Benoite - + rigole","","1200","101","0.95","21"
"49.712456","4.1289319","H7102010","La Serre à Rozoy-sur-Serre","","68","","0.95","0"
"49.712456","4.1289319","H710201001","La Serre à Rozoy-sur-Serre","","68","18.2","0.95","7"
"49.6983274","4.0148929","H7102020","La Serre à Montcornet","","113","13.4","0.95","20"
"49.6983274","4.0148929","H710202001","La Serre à Montcornet","","113","13.4","0.95","20"
"49.6846375","3.6669357","H7142010","La Serre à Mortiers","","748","40.6","0.95","51"
"49.6846375","3.6669357","H714201001","La Serre à Mortiers","","748","40.6","0.95","51"
"49.6928069","3.7172824","H7153010","La Souche à Froidmont-Cohartille","","406","","0.95","3"
"49.6928069","3.7172824","H715301001","La Souche à Froidmont-Cohartille - Fermée","","406","","0.95","3"
"49.6899098","3.7102332","H7153012","La Souche à Froidmont-Cohartille [RN2]","","403.9","","0.95","1"
"49.6899098","3.7102332","H715301202","La Souche à Froidmont-Cohartille [RN2] - débitmétrique - Fermée","","403.9","","0.95","1"
"49.6798783","3.6920914","H715301203","La Souche à Froidmont-Cohartille [RN2] - Fermée","","403.9","","0.95","0"
"49.6899098","3.7102332","H715301204","La Souche à Froidmont-Cohartille [RN2]","","403.9","","0.95","0"
"49.635617","3.6472318","H7153210","Le ruisseau des Barentons à Barenton-Bugny","","90","","0.95","0"
"49.635617","3.6472318","H715321001","Le ruisseau des Barentons à Barenton-Bugny","","90","1.00","0.95","10"
"49.5921342","3.6550335","H7153220","Le ruisseau des Barentons à Chambry","","46","","0.95","0"
"49.5921342","3.6550335","H715322001","Le ruisseau des Barentons à Chambry","","46","","0.95","2"
"49.6922601","3.4839047","H7162010","La Serre à Pont-à-Bucy","","1637","37.3","0.95","69"
"49.6922601","3.4839047","H716201001","La Serre à Pont-à-Bucy","","1637","37.3","0.95","69"
"49.6273843","3.2838517","H7201010","L'Oise à Condren","","3296","125","0.95","39"
"49.6250032","3.280963","H720101001","L'Oise à Condren","","3296","125","0.95","39"
"49.4837814","0.1146124","H7220111","La Seine au Havre [Port]","","","","0.95","0"
"49.4837814","0.1146124","H722011101","La Seine au Havre [Port]","","","","0.95","0"
"49.4640956","3.6655942","H7302010","L'Ailette à Chamouille","","71","","0.95","0"
"49.4640956","3.6655942","H730201001","L'Ailette à Chamouille","","71","1.65","0.95","8"
"49.4823039","3.5433168","H7302020","L'Ailette à Chavignon","","119","2.50","0.95","49"
"49.4813665","3.5436772","H730202001","L'Ailette à Chavignon","","119","2.50","0.95","49"
"49.4609876","3.6264613","H7302030","L'Ailette à Colligis-Crandelain [Crandelain]","","83.5","1.81","0.95","13"
"49.4607945","3.6265535","H730203001","L'Ailette à Colligis-Crandelain [Crandelain] - - Fermée","","83.5","1.81","0.95","13"
"49.5001824","0.2777316","H7306010","Le Rogerval à Rogerville","","11.8","","0.95","0"
"49.5001824","0.2777316","H730601010","Le Rogerval à Rogerville","","11.8","","0.95","2"
"49.5901143","0.2092091","H7310410","La Lézarde à Notre-Dame-du-Bec","","16.2","","0.95","0"
"49.5901143","0.2092091","H731041010","La Lézarde à Notre-Dame-du-Bec","","16.2","","0.95","1"
"49.500041","3.5239638","H7322010","L'Ailette à Chaillevois","","257","","0.95","0"
"49.500041","3.5239638","H732201001","L'Ailette à Chaillevois","","257","6.36","0.95","15"
